id_proposta;cpf_hash;data_proposta;cidade;uf;regiao;estado_civil;idade;profissao;canal_origem;tipo_imovel;renda_mensal;valor_imovel;valor_financiado;entrada;ltv;score_credito;atrasos_anteriores;divida_total;comprometimento_renda;possui_fgts;tempo_relacionamento_banco_meses;num_consultas_credito_90d;lead_score_marketing;aprovado_pre_analise;valor_parcela_estimado;prazo_meses;taxa_juros_anual;dias_ate_contato;qtd_interacoes_comercial;contratou;status_final;data_contratacao
PROP_000014;CPF_656932_00014;2025-12-08;Florianópolis;SC;Sul;Casado;41;CLT;Orgânico;Casa;3136.76;212555.11;186694.92;25860.19;0.8783;564;0;37376.88;0.4983;1;23;0;78;1;1996.12;240;11.54;9;1;0;Sem retorno;
PROP_000015;CPF_527398_00015;2025-08-01;Interior SP;SP;Sudeste;União estável;21;Autônomo;Campanha digital;Casa;11691.07;153139.11;99579.61;53559.5;0.6503;623;0;20393.9;0.0729;0;3;1;51;1;922.37;240;9.41;1;5;0;Perdido - preço;
PROP_000016;CPF_752483_00016;2025-03-07;Salvador;BA;Nordeste;Casado;21;Autônomo;Campanha digital;Casa;8398.05;163451.0;106890.0;56561.0;0.654;714;0;3626.06;0.0184;0;38;1;57;1;1080.12;240;10.68;4;5;0;Sem retorno;
PROP_000017;CPF_309044_00017;2025-05-07;Interior SP;SP;Sudeste;Casado;54;CLT;Orgânico;Apartamento;3629.17;149909.42;114869.91;35039.51;0.7663;619;0;79790.41;0.917;1;3;0;1;0;994.51;360;9.84;0;8;0;Perdido - preço;
PROP_000018;CPF_729577_00018;2025-12-17;São Paulo;SP;Sudeste;Solteiro;59;CLT;Indicação;Casa;6510.78;922451.2;794110.8;128340.4;0.8609;504;8;788.16;0.0088;0;36;5;25;0;7154.6;300;9.89;4;4;0;Em análise;
PROP_000019;CPF_392477_00019;2025-02-14;Santos;SP;Sudeste;Casado;23;CLT;Orgânico;Apartamento;9412.58;354313.24;217026.6;137286.64;0.6125;591;0;12335.58;0.0553;1;30;3;16;1;2045.3;420;11.07;6;4;0;Perdido - crédito;
PROP_000020;CPF_460455_00020;2025-09-29;Brasília;DF;Centro-Oeste;Solteiro;37;Empresário;Indicação;Casa;3977.7;1068505.01;851726.1;216778.91;0.7971;613;0;5217.57;0.0612;0;43;2;66;1;8200.52;300;10.76;1;4;0;Desistiu;
PROP_000021;CPF_831295_00021;2025-05-30;Goiânia;GO;Centro-Oeste;Casado;29;CLT;Indicação;Casa;24422.54;609891.89;455619.81;154272.09;0.7471;510;6;85712.91;0.1468;1;165;4;55;0;3854.39;360;9.57;3;2;0;Desistiu;
PROP_000022;CPF_876039_00022;2025-11-09;São José dos Campos;SP;Sudeste;Solteiro;47;CLT;Agência;Apartamento;10814.18;340433.06;239686.9;100746.16;0.7041;503;4;0;0.0007;1;38;3;53;0;2249.5;420;11.02;3;3;0;Perdido - preço;
PROP_000023;CPF_162535_00023;2025-02-06;Santos;SP;Sudeste;Solteiro;35;CLT;Orgânico;Apartamento;17280.41;518596.05;305506.87;213089.18;0.5891;572;1;16446.7;0.0402;0;65;3;25;1;2461.64;420;9.29;1;2;0;Perdido - crédito;
PROP_000024;CPF_644173_00024;2025-08-29;Rio de Janeiro;RJ;Sudeste;Solteiro;49;CLT;Correspondente;Apartamento;12803.87;363450.95;222858.36;140592.59;0.6132;552;1;67333.56;0.2197;1;10;3;79;0;2738.98;240;13.8;4;2;0;Perdido - crédito;
PROP_000025;CPF_893188_00025;2025-11-15;Brasília;DF;Centro-Oeste;Solteiro;30;CLT;Indicação;Casa;12711.74;346594.43;217121.28;129473.14;0.6264;422;4;80184.76;0.2634;1;15;1;85;0;2520.57;240;12.85;3;3;0;Em análise;
PROP_000026;CPF_355570_00026;2025-08-30;Manaus;AM;Norte;Casado;21;CLT;Orgânico;Comercial;11134.31;221706.66;158464.46;63242.2;0.7147;528;1;19450.3;0.0732;0;102;2;79;0;1896.36;420;14.26;1;5;0;Sem retorno;
PROP_000027;CPF_344907_00027;2025-07-16;Brasília;DF;Centro-Oeste;Solteiro;21;Empresário;Campanha digital;Apartamento;3407.28;413538.93;341230.95;72307.98;0.8251;393;6;123.3;0.0046;0;28;0;37;0;3416.81;420;11.82;1;2;0;Desistiu;
PROP_000028;CPF_184216_00028;2025-11-29;Goiânia;GO;Centro-Oeste;Divorciado;43;Autônomo;Agência;Casa;6913.91;302101.03;187027.7;115073.33;0.6191;522;0;41548.82;0.2512;0;25;3;25;0;1683.73;300;9.88;6;2;0;Sem retorno;
PROP_000029;CPF_283573_00029;2025-03-29;Salvador;BA;Nordeste;União estável;31;Servidor público;Orgânico;Apartamento;13132.13;412194.71;350558.02;61636.69;0.8505;780;1;146676.68;0.4662;0;49;5;81;1;3110.13;360;10.13;2;2;0;Perdido - crédito;
PROP_000030;CPF_693419_00030;2025-01-05;Campinas;SP;Sudeste;Casado;24;CLT;Correspondente;Casa;7068.0;354400.7;264390.21;90010.49;0.746;484;4;8876.38;0.0535;0;80;0;53;0;3250.23;360;14.56;1;8;0;Em análise;
PROP_000031;CPF_626169_00031;2025-07-07;Guarulhos;SP;Sudeste;Divorciado;54;CLT;Indicação;Apartamento;71361.2;1352467.16;1026476.9;325990.26;0.759;773;0;0;0.0004;1;65;0;59;1;8985.32;360;9.97;2;2;1;Contratado;2025-08-11
PROP_000032;CPF_332120_00032;2025-11-09;Porto Alegre;RS;Sul;Solteiro;21;Servidor público;Orgânico;Comercial;3645.54;206758.99;181084.57;25674.42;0.8758;656;0;6522.94;0.0761;0;46;2;72;1;2011.6;240;12.14;2;4;0;Em análise;
PROP_000033;CPF_818987_00033;2025-02-20;Campinas;SP;Sudeste;Solteiro;35;CLT;Agência;Apartamento;8325.29;385867.84;296615.27;89252.56;0.7687;577;0;16059.94;0.0815;0;90;3;64;1;2358.94;360;8.87;1;3;0;Em análise;
PROP_000034;CPF_666456_00034;2025-03-16;Recife;PE;Nordeste;Divorciado;33;CLT;Correspondente;Casa;14628.12;328212.03;211355.95;116856.08;0.644;645;1;7397.04;0.0215;1;2;4;64;1;1977.5;300;10.38;0;7;1;Contratado;2025-03-26
PROP_000035;CPF_819425_00035;2025-08-07;Porto Alegre;RS;Sul;Solteiro;42;CLT;Orgânico;Apartamento;6191.69;184179.18;142073.67;42105.51;0.7714;483;0;14198.41;0.0962;1;40;3;75;0;1443.91;360;11.84;13;1;0;Sem retorno;
PROP_000036;CPF_427704_00036;2025-08-07;Santos;SP;Sudeste;Casado;47;Autônomo;Indicação;Comercial;4479.65;350754.37;298227.66;52526.71;0.8502;598;1;81458.65;0.7597;0;61;3;67;0;2882.1;300;10.81;7;3;0;Em análise;
PROP_000037;CPF_773918_00037;2025-12-12;Porto Alegre;RS;Sul;Solteiro;25;Autônomo;Orgânico;Apartamento;8996.33;382277.6;270126.7;112150.9;0.7066;542;1;0;0.0009;0;4;5;24;0;3173.36;300;13.62;7;8;0;Desistiu;
PROP_000038;CPF_564637_00038;2025-05-20;Interior SP;SP;Sudeste;Solteiro;36;CLT;Campanha digital;Casa;3542.08;123494.57;107539.43;15955.14;0.8708;518;0;11027.91;0.1307;1;17;1;47;0;1338.06;240;14.01;0;5;0;Perdido - preço;
PROP_000039;CPF_516359_00039;2025-02-06;Goiânia;GO;Centro-Oeste;Solteiro;39;CLT;Campanha digital;Casa;8544.12;168365.95;117890.26;50475.69;0.7002;537;1;3375.68;0.0169;1;16;0;54;0;1217.79;420;12.22;1;4;0;Em análise;
PROP_000040;CPF_913934_00040;2025-04-10;Guarulhos;SP;Sudeste;Casado;34;CLT;Indicação;Apartamento;8747.54;318743.29;255454.96;63288.33;0.8014;453;8;10691.96;0.0518;1;21;0;89;0;2540.77;300;11.2;0;3;0;Desistiu;
PROP_000041;CPF_996840_00041;2025-11-27;Recife;PE;Nordeste;União estável;49;CLT;Correspondente;Apartamento;3517.68;368493.42;226765.53;141727.89;0.6154;695;1;1449.65;0.0191;1;41;4;45;1;2230.57;240;10.28;2;1;0;Perdido - preço;
PROP_000042;CPF_927564_00042;2025-01-27;Campinas;SP;Sudeste;Casado;21;Empresário;Campanha digital;Casa;9077.51;359936.01;310062.52;49873.49;0.8614;561;0;0;0.001;0;7;1;33;1;2940.85;300;10.56;10;3;0;Desistiu;
PROP_000043;CPF_458332_00043;2025-04-20;Salvador;BA;Nordeste;Solteiro;25;Empresário;Correspondente;Apartamento;2627.29;239600.99;143424.99;96176.0;0.5986;420;0;1241.65;0.0214;0;70;3;78;0;1658.92;240;12.79;2;3;0;Perdido - crédito;
PROP_000044;CPF_947903_00044;2025-06-08;Manaus;AM;Norte;Casado;25;Servidor público;Campanha digital;Terreno;2354.65;307739.29;254114.55;53624.74;0.8257;593;1;10768.47;0.1939;0;53;0;34;1;2542.49;420;11.81;5;5;0;Perdido - crédito;
PROP_000045;CPF_466566_00045;2025-08-19;Manaus;AM;Norte;Divorciado;28;Servidor público;Correspondente;Apartamento;11036.47;281737.31;243518.54;38218.78;0.8643;622;0;15181.36;0.058;0;52;2;69;1;2228.32;300;10.09;9;2;0;Perdido - crédito;
PROP_000046;CPF_932463_00046;2025-08-03;São Paulo;SP;Sudeste;Solteiro;35;CLT;Orgânico;Casa;3802.94;795702.82;501823.39;293879.43;0.6307;622;0;16571.93;0.1856;1;99;0;57;1;4035.91;420;9.27;1;2;1;Contratado;2025-09-14
PROP_000047;CPF_868544_00047;2025-05-04;Interior BA;BA;Nordeste;Casado;30;CLT;Correspondente;Apartamento;9595.96;257345.51;151217.16;106128.35;0.5876;613;0;0;0.0005;1;186;2;46;1;1741.19;420;13.7;1;0;0;Em análise;
PROP_000048;CPF_474314_00048;2025-05-27;Santos;SP;Sudeste;Solteiro;52;Servidor público;Campanha digital;Apartamento;11323.97;658622.23;567119.74;91502.49;0.8611;636;2;51352.64;0.1905;0;1;1;98;1;6548.41;420;13.74;3;2;0;Perdido - crédito;
PROP_000049;CPF_144412_00049;2025-08-17;Guarulhos;SP;Sudeste;União estável;23;Servidor público;Indicação;Comercial;19831.97;520122.5;291089.45;229033.04;0.5597;848;0;53703.44;0.1133;0;72;2;60;1;2524.46;360;9.86;3;3;0;Em análise;
PROP_000050;CPF_781113_00050;2025-06-10;Recife;PE;Nordeste;Casado;39;Autônomo;Correspondente;Casa;8001.16;388282.64;326984.84;61297.79;0.8421;582;0;0;0.0012;0;125;0;79;1;3015.53;360;10.6;5;4;0;Sem retorno;
PROP_000051;CPF_844031_00051;2025-12-31;Porto Alegre;RS;Sul;Casado;31;CLT;Agência;Apartamento;4196.07;336583.75;220176.97;116406.78;0.6542;410;5;280.17;0.0044;1;3;3;60;0;2456.27;360;13.12;3;2;0;Perdido - crédito;
PROP_000052;CPF_716338_00052;2025-11-24;Rio de Janeiro;RJ;Sudeste;Solteiro;40;Servidor público;Correspondente;Apartamento;9058.66;453922.81;401329.2;52593.6;0.8841;611;3;37607.07;0.1743;0;72;0;95;1;3785.34;420;11.08;2;1;0;Desistiu;
PROP_000053;CPF_983456_00053;2025-06-22;Rio de Janeiro;RJ;Sudeste;Solteiro;53;Autônomo;Orgânico;Terreno;5533.23;839849.45;667500.17;172349.28;0.7948;472;0;0;0.0037;0;13;3;43;0;7288.08;300;12.52;3;2;0;Desistiu;
PROP_000054;CPF_688933_00054;2025-09-21;Interior MG;MG;Sudeste;União estável;25;CLT;Correspondente;Casa;3511.45;120000;90980.67;29019.33;0.7582;538;0;3316.73;0.0401;1;22;2;58;0;1023.52;360;13.24;7;8;0;Em análise;
PROP_000055;CPF_618934_00055;2025-05-25;Santos;SP;Sudeste;Casado;39;CLT;Correspondente;Apartamento;4086.15;259832.33;191416.89;68415.44;0.7367;513;4;0;0.0014;1;30;2;62;0;1956.06;420;12.08;13;2;0;Perdido - preço;
PROP_000056;CPF_731728_00056;2025-04-12;Interior BA;BA;Nordeste;União estável;21;CLT;Campanha digital;Casa;28801.73;235274.7;149171.95;86102.75;0.634;655;0;0;0.0002;0;13;10;35;1;1510.4;240;10.71;6;3;0;Perdido - crédito;
PROP_000057;CPF_597643_00057;2025-11-02;Belém;PA;Norte;Solteiro;32;Empresário;Agência;Apartamento;8079.23;481641.43;338055.74;143585.69;0.7019;607;0;12620.26;0.0664;0;34;2;69;1;4130.34;240;13.7;3;5;0;Perdido - preço;
PROP_000058;CPF_495129_00058;2025-09-27;Porto Alegre;RS;Sul;Solteiro;23;Autônomo;Correspondente;Casa;61019.44;162867.81;88850.65;74017.16;0.5455;658;3;43904.6;0.03;0;22;4;96;1;996.97;240;12.3;2;4;0;Sem retorno;
PROP_000059;CPF_404561_00059;2025-03-16;Salvador;BA;Nordeste;Casado;23;Empresário;Campanha digital;Apartamento;21516.0;643161.71;332871.13;310290.58;0.5176;627;0;127737.0;0.2478;0;27;2;81;1;2755.35;360;9.32;4;3;0;Em análise;
PROP_000060;CPF_784607_00060;2025-07-28;Guarulhos;SP;Sudeste;Solteiro;31;CLT;Correspondente;Terreno;5113.05;169868.28;119578.92;50289.36;0.704;564;2;0;0.0007;1;42;0;39;1;1330.87;240;12.17;0;8;0;Perdido - crédito;
PROP_000061;CPF_695361_00061;2025-06-01;Manaus;AM;Norte;Casado;42;Autônomo;Campanha digital;Terreno;6475.3;532180.87;405194.44;126986.43;0.7614;425;5;12133.33;0.08;0;79;2;55;0;4640.24;300;13.23;4;5;0;Em análise;
PROP_000062;CPF_223119_00062;2025-12-20;Belo Horizonte;MG;Sudeste;Solteiro;52;CLT;Indicação;Apartamento;6297.39;146636.19;87071.04;59565.15;0.5938;680;0;0;0.0004;1;44;3;71;1;732.78;360;9.51;4;7;0;Em análise;
PROP_000063;CPF_315379_00063;2025-12-15;Florianópolis;SC;Sul;União estável;49;Servidor público;Campanha digital;Casa;4100.25;710690.66;519696.57;190994.09;0.7313;535;3;22092.75;0.2284;0;18;6;74;0;5635.53;300;12.42;0;3;0;Perdido - preço;
PROP_000064;CPF_495833_00064;2025-08-18;Interior MG;MG;Sudeste;Casado;44;CLT;Correspondente;Casa;14384.71;137267.95;91953.68;45314.27;0.6699;656;0;24250.89;0.0704;0;179;2;61;1;1010.18;300;12.61;15;4;0;Sem retorno;
PROP_000065;CPF_876513_00065;2025-05-06;Fortaleza;CE;Nordeste;Viúvo;59;Servidor público;Correspondente;Casa;3902.05;255182.28;189297.39;65884.9;0.7418;613;0;679.91;0.0087;0;60;0;52;1;1817.99;240;9.93;0;4;0;Perdido - preço;
PROP_000066;CPF_434217_00066;2025-09-26;Guarulhos;SP;Sudeste;Solteiro;41;Autônomo;Campanha digital;Casa;3425.66;443397.45;347535.13;95862.32;0.7838;571;0;2342.39;0.0316;0;10;1;98;1;3632.11;300;11.89;2;3;0;Sem retorno;
PROP_000067;CPF_943737_00067;2025-02-07;Goiânia;GO;Centro-Oeste;União estável;31;CLT;Orgânico;Apartamento;3625.02;267980.39;193214.52;74765.87;0.721;579;0;3416.93;0.0409;1;3;2;34;1;1616.16;300;8.96;1;4;1;Contratado;2025-02-21
PROP_000068;CPF_488712_00068;2025-04-15;Interior MG;MG;Sudeste;Solteiro;45;Aposentado;Agência;Comercial;9688.28;147167.24;120477.88;26689.36;0.8186;558;0;89164.29;0.3839;0;20;2;42;0;1136.35;420;11.08;6;5;0;Em análise;
PROP_000069;CPF_772985_00069;2025-10-05;Salvador;BA;Nordeste;Casado;44;Empresário;Correspondente;Apartamento;4407.44;168724.65;123204.35;45520.3;0.7302;658;0;19313.36;0.1834;0;72;8;40;1;1337.85;300;12.44;1;1;0;Perdido - crédito;
PROP_000070;CPF_954814_00070;2025-05-10;Guarulhos;SP;Sudeste;Solteiro;43;CLT;Correspondente;Terreno;9861.54;367188.58;332299.11;34889.47;0.905;515;5;42266.76;0.1796;1;29;3;19;0;3031.32;300;10.05;0;2;0;Desistiu;
PROP_000071;CPF_177959_00071;2025-01-24;Recife;PE;Nordeste;Solteiro;27;Aposentado;Campanha digital;Casa;3805.1;183364.98;130957.35;52407.62;0.7142;633;1;0;0.0011;0;64;2;57;1;1252.51;240;9.87;9;5;0;Em análise;
PROP_000072;CPF_339220_00072;2025-09-09;Porto Alegre;RS;Sul;Casado;47;Aposentado;Campanha digital;Casa;24196.09;202564.66;116133.81;86430.85;0.5733;643;0;98140.04;0.1691;0;2;2;61;1;1331.61;420;13.64;1;4;0;Sem retorno;
PROP_000073;CPF_471106_00073;2025-02-15;Recife;PE;Nordeste;Solteiro;29;Servidor público;Indicação;Apartamento;8145.71;198019.1;165091.87;32927.22;0.8337;606;0;7062.98;0.0367;1;120;2;64;1;1556.16;240;9.66;2;4;0;Perdido - preço;
PROP_000074;CPF_580102_00074;2025-04-11;Interior SP;SP;Sudeste;Solteiro;32;CLT;Agência;Terreno;4582.41;280554.28;223259.6;57294.69;0.7958;396;8;0;0.0015;1;2;2;31;0;2356.34;240;11.34;11;5;0;Desistiu;
PROP_000075;CPF_720995_00075;2025-04-13;Santos;SP;Sudeste;Casado;44;Empresário;Correspondente;Casa;2572.85;426156.88;297899.27;128257.62;0.699;482;1;9051.68;0.1501;1;21;1;62;0;2954.27;300;11.16;1;5;0;Desistiu;
PROP_000076;CPF_769180_00076;2025-11-01;Interior SP;SP;Sudeste;Divorciado;41;Empresário;Campanha digital;Apartamento;1800;209379.88;157675.95;51703.93;0.7531;557;0;1274.79;0.0322;0;36;2;87;0;1535.37;420;11.47;6;3;0;Desistiu;
PROP_000077;CPF_971699_00077;2025-03-01;Campinas;SP;Sudeste;Casado;46;Autônomo;Campanha digital;Comercial;2675.78;475263.19;404172.38;71090.8;0.8504;705;0;0;0.0046;0;48;1;37;1;3804.58;300;10.46;0;1;0;Perdido - preço;
PROP_000078;CPF_720970_00078;2025-08-19;São José dos Campos;SP;Sudeste;Casado;28;CLT;Correspondente;Apartamento;2713.66;301649.27;193051.0;108598.27;0.64;581;0;4479.21;0.0709;1;23;2;72;1;2028.98;300;11.97;2;0;0;Perdido - crédito;
PROP_000079;CPF_240454_00079;2025-12-11;Goiânia;GO;Centro-Oeste;Solteiro;39;CLT;Campanha digital;Apartamento;4903.1;287729.21;178739.98;108989.22;0.6212;428;0;8989.6;0.0775;1;39;2;29;0;2103.86;300;13.65;4;2;0;Perdido - preço;
PROP_000080;CPF_817956_00080;2025-07-29;Salvador;BA;Nordeste;Solteiro;34;CLT;Indicação;Apartamento;3640.22;448491.39;260138.52;188352.87;0.58;458;1;7198.11;0.0846;1;15;2;81;0;2858.91;240;11.97;0;3;0;Sem retorno;
PROP_000081;CPF_133796_00081;2025-06-02;Manaus;AM;Norte;Solteiro;41;Servidor público;Indicação;Casa;6260.31;247776.63;161110.35;86666.29;0.6502;658;0;10892.87;0.0733;1;62;4;36;1;1839.53;240;12.58;2;2;0;Perdido - crédito;
PROP_000082;CPF_253347_00082;2025-05-08;Brasília;DF;Centro-Oeste;Casado;37;Empresário;Correspondente;Casa;5323.32;449045.76;328226.72;120819.04;0.7309;362;3;219.07;0.0036;0;30;5;63;0;3909.32;420;14.19;19;6;0;Perdido - crédito;
PROP_000083;CPF_550513_00083;2025-04-22;Salvador;BA;Nordeste;Casado;24;CLT;Correspondente;Casa;15236.6;153920.64;114906.73;39013.91;0.7465;523;4;95235.34;0.2607;0;16;0;71;0;1234.55;420;12.74;4;6;0;Sem retorno;
PROP_000084;CPF_195629_00084;2025-12-02;Belo Horizonte;MG;Sudeste;Divorciado;33;Empresário;Campanha digital;Casa;7660.21;610099.81;533907.86;76191.95;0.8751;597;0;0;0.0021;0;4;1;79;1;4465.92;300;8.96;3;5;0;Sem retorno;
PROP_000085;CPF_758589_00085;2025-06-29;Santos;SP;Sudeste;Casado;41;CLT;Campanha digital;Comercial;4133.1;274614.04;233221.98;41392.07;0.8493;740;0;0;0.0017;1;62;4;91;1;1965.18;300;9.05;3;4;1;Contratado;2025-07-14
PROP_000086;CPF_618927_00086;2025-05-03;São José dos Campos;SP;Sudeste;Solteiro;43;CLT;Campanha digital;Apartamento;27009.67;752782.62;546181.35;206601.27;0.7255;888;0;92698.49;0.1436;1;119;0;78;1;5329.52;300;10.94;2;5;0;Perdido - preço;
PROP_000087;CPF_442622_00087;2025-10-02;Fortaleza;CE;Nordeste;União estável;21;Aposentado;Orgânico;Casa;4197.41;207526.79;135137.76;72389.04;0.6512;520;1;6607.48;0.0666;0;22;3;72;0;1316.69;300;10.92;1;3;0;Perdido - crédito;
PROP_000088;CPF_868538_00088;2025-05-18;Fortaleza;CE;Nordeste;União estável;33;CLT;Indicação;Apartamento;14691.57;134064.36;119785.36;14279.01;0.8935;416;5;63799.99;0.1812;1;0;0;90;0;1247.82;360;12.17;6;5;0;Perdido - crédito;
PROP_000089;CPF_942127_00089;2025-10-11;Santos;SP;Sudeste;Casado;35;CLT;Indicação;Casa;7678.59;334794.19;284283.29;50510.89;0.8491;459;1;21695.77;0.1189;1;29;0;76;0;2743.66;420;11.36;10;2;0;Perdido - preço;
PROP_000090;CPF_897423_00090;2025-10-07;Goiânia;GO;Centro-Oeste;Solteiro;34;Autônomo;Indicação;Casa;2256.31;161525.4;100176.49;61348.91;0.6202;570;0;8284.65;0.1543;1;25;1;56;1;986.92;300;11.07;3;3;0;Perdido - crédito;
PROP_000091;CPF_720647_00091;2025-02-08;Curitiba;PR;Sul;Divorciado;38;CLT;Indicação;Casa;4497.87;120000;70587.87;49412.13;0.5882;587;0;78.89;0.0012;1;11;5;23;1;811.08;420;13.67;0;1;0;Sem retorno;
PROP_000092;CPF_195643_00092;2025-03-17;Interior MG;MG;Sudeste;Casado;33;Empresário;Campanha digital;Apartamento;4698.71;229780.96;193884.35;35896.62;0.8438;779;0;0;0.0013;0;26;5;78;1;2070.75;360;12.51;4;1;0;Em análise;
PROP_000093;CPF_988432_00093;2025-03-07;Curitiba;PR;Sul;União estável;32;CLT;Campanha digital;Casa;21142.25;509452.65;288203.48;221249.17;0.5657;802;1;7718.42;0.0156;1;48;6;68;1;2484.7;240;8.41;0;7;1;Contratado;2025-03-14
PROP_000094;CPF_501078_00094;2025-01-10;Salvador;BA;Nordeste;Casado;36;CLT;Indicação;Terreno;6582.08;280334.82;195048.01;85286.82;0.6958;498;0;21255.11;0.1355;1;90;2;80;0;1754.81;420;10.52;8;4;0;Desistiu;
PROP_000095;CPF_979988_00095;2025-07-01;Recife;PE;Nordeste;Solteiro;30;CLT;Correspondente;Apartamento;11904.49;125612.12;96532.24;29079.87;0.7685;500;3;4456.91;0.0158;1;7;1;66;0;1158.57;240;13.4;11;4;0;Sem retorno;
PROP_000096;CPF_122977_00096;2025-01-31;Rio de Janeiro;RJ;Sudeste;Casado;31;CLT;Agência;Casa;5594.28;731708.71;576062.62;155646.09;0.7873;373;1;8151.03;0.0639;1;10;2;96;0;6763.0;300;13.61;1;2;0;Em análise;
PROP_000097;CPF_290926_00097;2025-01-17;São José dos Campos;SP;Sudeste;Solteiro;49;CLT;Orgânico;Apartamento;14534.51;397319.82;246090.81;151229.01;0.6194;414;6;50598.42;0.1456;1;8;1;49;0;3121.15;240;14.34;11;3;0;Desistiu;
PROP_000098;CPF_206355_00098;2025-07-12;Interior BA;BA;Nordeste;Solteiro;35;Autônomo;Orgânico;Apartamento;6768.0;475412.85;314349.73;161063.11;0.6612;574;0;0;0.0014;0;64;3;71;1;3604.38;420;13.64;8;3;0;Desistiu;
PROP_000099;CPF_378150_00099;2025-10-04;Manaus;AM;Norte;Solteiro;40;Servidor público;Orgânico;Apartamento;11108.41;120000;99807.44;20192.56;0.8317;769;0;73110.94;0.2745;0;93;3;24;1;789.96;420;9.1;0;2;0;Desistiu;
PROP_000100;CPF_587648_00100;2025-08-14;Florianópolis;SC;Sul;Solteiro;26;CLT;Orgânico;Casa;2816.33;371302.89;303693.87;67609.02;0.8179;527;1;3885.02;0.0608;0;26;5;44;0;2713.5;420;10.44;8;3;0;Em análise;
